INSERT INTO blogs (name, category, reference, status) VALUES
('Producto 1', 'Electrodomesticos', 121, true),
('Producto 2', 'Tecnologia', 122, true),
('Producto 3', 'Electrodomesticos', 123, true),
('Producto 4', 'Tecnologia', 124, true),
('Producto 5', 'Electrodomesticos', 125, true),
('Producto 6', 'Tecnologia', 126, true),
('Producto 7', 'Electrodomesticos', 127, true),
('Producto 8', 'Tecnologia', 128, true),
('Producto 9', 'Electrodomesticos', 129, true),
('Producto 10', 'Tecnologia', 130, true),
('Producto 11', 'Electrodomesticos', 131, true),
('Producto 12', 'Tecnologia', 132, true),
('Producto 13', 'Electrodomesticos', 133, true),
('Producto 14', 'Tecnologia', 134, true),
('Producto 15', 'Electrodomesticos', 135, true),
('Producto 16', 'Tecnologia', 136, true),
('Producto 17', 'Electrodomesticos', 137, true),
('Producto 18', 'Tecnologia', 138, true),
('Producto 19', 'Electrodomesticos', 139, true),
('Producto 20', 'Tecnologia', 140, true),
('Producto 21', 'Electrodomesticos', 141, true),
('Producto 22', 'Tecnologia', 142, true),
('Producto 23', 'Electrodomesticos', 143, true),
('Producto 24', 'Tecnologia', 144, true),
('Producto 25', 'Electrodomesticos', 145, true),
('Producto 26', 'Tecnologia', 146, true),
('Producto 27', 'Electrodomesticos', 147, true),
('Producto 28', 'Tecnologia', 148, true),
('Producto 29', 'Electrodomesticos', 149, true),
('Producto 30', 'Tecnologia', 150, true),
('Producto 31', 'Electrodomesticos', 151, true),
('Producto 32', 'Tecnologia', 152, true),
('Producto 33', 'Electrodomesticos', 153, true),
('Producto 34', 'Tecnologia', 154, true),
('Producto 35', 'Electrodomesticos', 155, true),
('Producto 36', 'Tecnologia', 156, true),
('Producto 37', 'Electrodomesticos', 157, true),
('Producto 38', 'Tecnologia', 158, true),
('Producto 39', 'Electrodomesticos', 159, true),
('Producto 40', 'Tecnologia', 160, true),
('Producto 41', 'Electrodomesticos', 161, true),
('Producto 42', 'Tecnologia', 162, true),
('Producto 43', 'Electrodomesticos', 163, true),
('Producto 44', 'Tecnologia', 164, true),
('Producto 45', 'Electrodomesticos', 165, true),
('Producto 46', 'Tecnologia', 166, true),
('Producto 47', 'Electrodomesticos', 167, true),
('Producto 48', 'Tecnologia', 168, true),
('Producto 49', 'Electrodomesticos', 169, true),
('Producto 50', 'Tecnologia', 170, true),
('Producto 51', 'Electrodomesticos', 171, true),
('Producto 52', 'Tecnologia', 172, true),
('Producto 53', 'Electrodomesticos', 173, true),
('Producto 54', 'Tecnologia', 174, true),
('Producto 55', 'Electrodomesticos', 175, true),
('Producto 56', 'Tecnologia', 176, true),
('Producto 57', 'Electrodomesticos', 177, true),
('Producto 58', 'Tecnologia', 178, true),
('Producto 59', 'Electrodomesticos', 179, true),
('Producto 60', 'Tecnologia', 180, true),
('Producto 61', 'Electrodomesticos', 181, true),
('Producto 62', 'Tecnologia', 182, true),
('Producto 63', 'Electrodomesticos', 183, true),
('Producto 64', 'Tecnologia', 184, true),
('Producto 65', 'Electrodomesticos', 185, true),
('Producto 66', 'Tecnologia', 186, true),
('Producto 67', 'Electrodomesticos', 187, true),
('Producto 68', 'Tecnologia', 188, true),
('Producto 69', 'Electrodomesticos', 189, true),
('Producto 70', 'Tecnologia', 190, true),
('Producto 71', 'Electrodomesticos', 191, true),
('Producto 72', 'Tecnologia', 192, true),
('Producto 73', 'Electrodomesticos', 193, true),
('Producto 74', 'Tecnologia', 194, true),
('Producto 75', 'Electrodomesticos', 195, true),
('Producto 76', 'Tecnologia', 196, true),
('Producto 77', 'Electrodomesticos', 197, true),
('Producto 78', 'Tecnologia', 198, true),
('Producto 79', 'Electrodomesticos', 199, true),
('Producto 80', 'Tecnologia', 200, true),
('Producto 81', 'Electrodomesticos', 201, true),
('Producto 82', 'Tecnologia', 202, true),
('Producto 83', 'Electrodomesticos', 203, true),
('Producto 84', 'Tecnologia', 204, true),
('Producto 85', 'Electrodomesticos', 205, true),
('Producto 86', 'Tecnologia', 206, true),
('Producto 87', 'Electrodomesticos', 207, true),
('Producto 88', 'Tecnologia', 208, true),
('Producto 89', 'Electrodomesticos', 209, true),
('Producto 90', 'Tecnologia', 210, true),
('Producto 91', 'Electrodomesticos', 211, true),
('Producto 92', 'Tecnologia', 212, true),
('Producto 93', 'Electrodomesticos', 213, true),
('Producto 94', 'Tecnologia', 214, true),
('Producto 95', 'Electrodomesticos', 215, true),
('Producto 96', 'Tecnologia', 216, true),
('Producto 97', 'Electrodomesticos', 217, true),
('Producto 98', 'Tecnologia', 218, true),
('Producto 99', 'Electrodomesticos', 219, true),
('Producto 100', 'Tecnologia', 220, true);
